Date,Day,PDH,PDH_Time,PDM,PDM_Time,PDL,PDL_Time,HighOfDay%,High_Of_Day_Time,LowOfDay%,Low_Of_Day_Time,Day_Range,P12_Hour_High_Hit_TF,P_12_Hour_High_Hit_Time,P12_Hour_Mid_Hit_TF,P_12_Hour_Mid_Hit_Time,P12_Hour_Low_Hit_TF,P_12_Hour_Low_Hit_Time,AsiaDirection,AsiaSession,AsiaModelStatus,LondonDirection,LondonSession,LondonModelStatus,NY1Direction,NY1Session,NY1ModelStatus
25/03/2008,Tuesday,True,07:00:00,False,,False,,0.99,15:20:00,-0.82,10:00:00,33.0,07:00:00,True,06:35:00,True,09:55:00,True,Short,1.0,Broken,Long,1.0,Complete,Short,1.0,Broken
26/03/2008,Wednesday,False,,True,19:30:00,True,10:45:00,0.21,15:00:00,-1.27,16:05:00,27.0,14:55:00,True,06:00:00,True,07:50:00,True,Short,1.0,Broken,Long,1.0,Complete,Short,1.0,Broken
27/03/2008,Thursday,False,,True,04:00:00,True,10:20:00,0.86,05:45:00,-1.4,16:00:00,40.75,,False,07:10:00,True,10:20:00,True,Long,1.0,Broken,Long,1.0,Broken,Long,0.0,Broken
28/03/2008,Friday,False,,True,03:00:00,True,13:50:00,0.98,10:05:00,-1.34,15:45:00,41.5,09:55:00,True,08:00:00,True,12:45:00,True,Short,0.0,Broken,Long,1.0,Broken,Long,0.0,Broken
31/03/2008,Monday,False,,True,09:40:00,True,04:20:00,0.9,13:30:00,-0.73,04:20:00,29.0,07:50:00,True,06:05:00,True,,False,Long,0.0,Broken,Short,0.0,Broken,Short,0.0,Broken
2008-01-04 00:00:00,Tuesday,True,03:55:00,True,09:40:00,True,04:20:00,4.3,16:00:00,-0.46,02:45:00,85.0,08:05:00,True,,False,,False,Long,0.0,Broken,Long,1.0,Complete,Long,1.0,Complete
2008-02-04 00:00:00,Wednesday,True,07:15:00,False,,False,,0.94,10:40:00,-0.94,15:05:00,35.0,07:10:00,True,06:00:00,True,15:00:00,True,Short,1.0,Broken,Long,0.0,Broken,Short,0.0,Broken
2008-03-04 00:00:00,Thursday,False,,True,18:50:00,True,10:50:00,0.6,13:25:00,-1.07,10:50:00,31.25,12:40:00,True,12:35:00,True,06:30:00,True,Long,1.0,Broken,Short,1.0,Broken,Short,1.0,Broken
2008-04-04 00:00:00,Friday,True,07:45:00,True,18:50:00,True,10:50:00,1.24,13:25:00,-0.82,10:15:00,38.5,07:05:00,True,08:30:00,True,08:30:00,True,Short,0.0,Broken,Short,0.0,Broken,Short,1.0,Broken
2008-07-04 00:00:00,Monday,True,11:45:00,True,18:35:00,False,,1.38,12:40:00,-0.28,15:10:00,31.0,11:40:00,True,10:30:00,True,15:00:00,True,Long,1.0,Complete,Long,1.0,Broken,Short,0.0,Broken
2008-08-04 00:00:00,Tuesday,False,,False,,True,19:50:00,0.12,11:30:00,-1.09,14:20:00,22.5,11:30:00,True,10:35:00,True,06:50:00,True,Short,1.0,Broken,Short,1.0,Broken,Short,0.0,Broken
2008-09-04 00:00:00,Wednesday,True,20:00:00,True,22:00:00,True,09:45:00,0.62,20:00:00,-1.85,14:50:00,45.75,,False,07:00:00,True,09:40:00,True,Long,0.0,Broken,Long,1.0,Broken,Short,1.0,Complete
2008-10-04 00:00:00,Thursday,True,11:45:00,True,09:30:00,False,,1.81,13:50:00,-0.72,08:15:00,46.5,09:30:00,True,09:30:00,True,06:05:00,True,Short,0.0,Broken,Short,1.0,Broken,Long,1.0,Complete
2008-11-04 00:00:00,Friday,True,11:45:00,True,09:30:00,True,12:20:00,0.51,06:15:00,-3.29,15:40:00,70.75,06:10:00,True,06:30:00,True,06:30:00,True,Long,1.0,Broken,Short,0.0,Complete,Short,1.0,Complete
14/04/2008,Monday,False,,False,,True,20:05:00,0.39,12:50:00,-0.86,08:25:00,22.5,11:05:00,True,06:00:00,True,06:45:00,True,Short,1.0,Broken,Short,0.0,Broken,Long,1.0,Broken
15/04/2008,Tuesday,False,,True,08:15:00,True,06:50:00,0.81,08:35:00,-0.78,11:10:00,28.5,07:45:00,True,07:25:00,True,06:20:00,True,Long,1.0,Broken,Short,1.0,Broken,Long,0.0,Broken
16/04/2008,Wednesday,False,,False,,False,,2.43,16:05:00,-0.38,05:55:00,51.25,08:00:00,True,06:55:00,True,,False,Short,1.0,Broken,Long,0.0,Complete,Long,1.0,Complete
17/04/2008,Thursday,True,16:10:00,True,11:25:00,False,,0.52,16:10:00,-1.45,12:35:00,36.75,16:10:00,True,06:00:00,True,06:10:00,True,Short,0.0,Broken,Short,0.0,Broken,Short,1.0,Broken
18/04/2008,Friday,True,02:05:00,False,,False,,2.02,13:25:00,-0.33,02:10:00,44.25,06:15:00,True,,False,,False,Short,1.0,Broken,Long,1.0,Complete,Long,1.0,Complete
21/04/2008,Monday,True,14:50:00,False,,False,,0.92,15:55:00,-0.53,07:05:00,27.5,13:00:00,True,09:50:00,True,06:10:00,True,Long,1.0,Broken,Short,1.0,Broken,Long,1.0,Complete
22/04/2008,Tuesday,False,,True,19:55:00,True,11:50:00,0.25,06:05:00,-1.85,12:55:00,40.0,06:00:00,True,06:25:00,True,09:35:00,True,Short,1.0,Broken,Long,0.0,Broken,Short,1.0,Complete
23/04/2008,Wednesday,True,10:30:00,True,06:55:00,False,,1.15,10:55:00,-0.45,07:15:00,30.25,09:05:00,True,06:05:00,True,06:50:00,True,Short,0.0,Broken,Long,0.0,Broken,Long,1.0,Complete
24/04/2008,Thursday,True,11:35:00,True,08:30:00,False,,2.88,15:05:00,-0.25,20:50:00,59.25,08:15:00,True,06:25:00,True,,False,Short,0.0,Broken,Long,0.0,Broken,Long,0.0,Complete
25/04/2008,Friday,False,,True,01:50:00,False,,0.93,07:55:00,-0.9,13:30:00,35.0,07:50:00,True,09:45:00,True,09:55:00,True,Short,0.0,Complete,Short,0.0,Broken,Short,1.0,Complete
28/04/2008,Monday,True,10:10:00,True,01:50:00,False,,1.01,14:05:00,-0.18,20:10:00,23.0,06:05:00,True,08:15:00,True,,False,Short,0.0,Complete,Short,0.0,Broken,Long,0.0,Broken
29/04/2008,Tuesday,True,14:40:00,True,09:35:00,True,06:15:00,1.33,15:10:00,-0.18,20:10:00,29.0,06:05:00,True,08:15:00,True,,False,Short,0.0,Broken,Long,0.0,Broken,Long,0.0,Complete
30/04/2008,Wednesday,True,08:30:00,True,06:15:00,True,15:10:00,1.15,14:15:00,-1.11,15:10:00,43.75,08:30:00,True,08:15:00,True,06:00:00,True,Long,1.0,Broken,Long,0.0,Broken,Long,1.0,Broken
2008-01-05 00:00:00,Thursday,True,11:00:00,True,09:45:00,False,,3.16,15:55:00,-0.18,09:20:00,64.25,07:20:00,True,06:05:00,True,09:05:00,True,Long,0.0,Broken,Long,0.0,Broken,Short,0.0,Complete
2008-02-05 00:00:00,Friday,True,21:05:00,False,,False,,1.22,08:40:00,-0.69,13:15:00,38.0,07:30:00,True,08:20:00,True,10:55:00,True,Short,0.0,Broken,Short,0.0,Broken,Long,0.0,Broken
2008-05-05 00:00:00,Monday,False,,True,21:20:00,True,21:20:00,0.54,10:05:00,-0.91,21:20:00,28.75,10:00:00,True,06:05:00,True,,False,Long,0.0,Broken,Short,1.0,Broken,Short,0.0,Broken
2008-06-05 00:00:00,Tuesday,True,14:50:00,True,22:15:00,True,09:45:00,1.1,16:05:00,-0.95,09:55:00,40.5,12:00:00,True,11:55:00,True,06:15:00,True,Short,0.0,Broken,Short,1.0,Broken,Long,0.0,Complete
2008-07-05 00:00:00,Wednesday,True,10:40:00,True,12:25:00,True,14:30:00,0.41,10:40:00,-2.37,15:25:00,55.5,10:40:00,True,06:15:00,True,07:30:00,True,Long,0.0,Broken,Short,0.0,Broken,Long,0.0,Broken
2008-08-05 00:00:00,Thursday,False,,True,11:20:00,False,,1.17,13:55:00,-0.15,10:15:00,26.0,07:40:00,True,08:40:00,True,10:10:00,True,Long,1.0,Complete,Short,1.0,Broken,Short,0.0,Broken
2008-09-05 00:00:00,Friday,False,,True,10:45:00,True,03:25:00,0.52,10:45:00,-0.61,09:30:00,22.25,10:40:00,True,10:00:00,True,09:30:00,True,Long,0.0,Broken,Short,1.0,Broken,Long,0.0,Complete
2008-12-05 00:00:00,Monday,True,10:35:00,True,10:45:00,True,03:25:00,2.05,14:50:00,-0.61,09:30:00,52.25,10:40:00,True,10:00:00,True,09:30:00,True,Long,0.0,Broken,Long,0.0,Broken,Short,0.0,Complete
13/05/2008,Tuesday,True,08:45:00,False,,False,,0.51,15:00:00,-0.66,11:00:00,23.5,08:45:00,True,08:30:00,True,06:15:00,True,Short,0.0,Broken,Short,1.0,Broken,Long,0.0,Broken
14/05/2008,Wednesday,True,03:40:00,True,15:45:00,False,,1.4,13:45:00,-0.45,16:05:00,37.0,08:30:00,True,08:25:00,True,06:10:00,True,Short,1.0,Broken,Long,0.0,Broken,Long,1.0,Broken
15/05/2008,Thursday,True,15:40:00,True,11:05:00,True,09:30:00,1.98,15:50:00,-0.18,09:35:00,43.0,06:00:00,True,09:20:00,True,09:30:00,True,Short,0.0,Complete,Long,1.0,Broken,Short,0.0,Complete
16/05/2008,Friday,True,04:50:00,True,11:00:00,False,,0.29,06:45:00,-1.12,11:15:00,28.75,06:10:00,True,08:20:00,True,09:40:00,True,Short,1.0,Broken,Long,1.0,Broken,Long,0.0,Broken
19/05/2008,Monday,True,04:50:00,True,11:00:00,True,15:35:00,0.92,13:25:00,-1.34,15:40:00,46.0,08:00:00,True,09:30:00,True,09:35:00,True,Short,1.0,Broken,Long,1.0,Broken,Long,0.0,Broken
20/05/2008,Tuesday,False,,False,,True,09:30:00,0.06,18:25:00,-1.7,14:15:00,35.75,,False,,False,06:45:00,True,Short,1.0,Complete,Short,0.0,Complete,Short,1.0,Complete
21/05/2008,Wednesday,False,,True,19:20:00,True,09:30:00,0.65,09:40:00,-2.6,15:40:00,65.25,09:35:00,True,06:10:00,True,06:25:00,True,Long,1.0,Broken,Long,0.0,Broken,Long,0.0,Broken
22/05/2008,Thursday,False,,True,19:20:00,True,09:30:00,0.83,10:30:00,-0.39,08:20:00,24.0,10:10:00,True,06:20:00,True,08:20:00,True,Short,0.0,Broken,Long,0.0,Broken,Long,1.0,Broken
23/05/2008,Friday,False,,True,21:35:00,True,04:15:00,0.1,21:35:00,-1.11,11:30:00,23.75,,False,07:45:00,True,10:35:00,True,Long,0.0,Broken,Short,1.0,Broken,Long,0.0,Broken
27/05/2008,Tuesday,True,03:05:00,True,04:50:00,False,,1.77,15:35:00,-0.37,07:10:00,42.0,09:35:00,True,06:00:00,True,07:10:00,True,Long,1.0,Broken,Short,1.0,Broken,Long,1.0,Complete
28/05/2008,Wednesday,True,03:05:00,True,04:50:00,False,,0.74,08:40:00,-0.54,12:10:00,25.5,06:20:00,True,10:00:00,True,12:00:00,True,Short,1.0,Broken,Short,0.0,Broken,Long,0.0,Broken
29/05/2008,Thursday,True,04:05:00,False,,False,,1.54,14:20:00,-0.12,08:55:00,33.25,09:50:00,True,08:05:00,True,08:45:00,True,Short,0.0,Broken,Long,1.0,Broken,Short,0.0,Complete
30/05/2008,Friday,True,08:30:00,False,,False,,0.78,15:05:00,-0.22,09:35:00,20.25,07:25:00,True,09:30:00,True,09:35:00,True,,,Broken,Long,1.0,Broken,Long,0.0,Complete
2008-02-06 00:00:00,Monday,False,,True,20:15:00,True,04:35:00,0.07,18:50:00,-2.26,13:05:00,47.5,,False,09:25:00,True,09:45:00,True,Short,1.0,Complete,Short,1.0,Complete,Long,0.0,Complete
2008-03-06 00:00:00,Tuesday,False,,True,20:15:00,True,04:35:00,0.87,10:05:00,-1.64,14:25:00,50.5,06:00:00,True,06:35:00,True,13:30:00,True,Long,0.0,Complete,Long,1.0,Broken,Long,0.0,Broken
2008-04-06 00:00:00,Wednesday,True,10:55:00,True,09:40:00,False,,2.01,12:20:00,-0.59,09:05:00,52.0,09:40:00,True,09:35:00,True,07:15:00,True,Long,1.0,Broken,Short,1.0,Broken,Short,0.0,Complete
2008-05-06 00:00:00,Thursday,True,09:50:00,False,,False,,2.08,16:00:00,-0.04,18:35:00,42.75,07:20:00,True,06:50:00,True,,False,Long,1.0,Complete,Long,1.0,Broken,Long,0.0,Complete
2008-06-06 00:00:00,Friday,True,03:25:00,True,09:20:00,True,11:10:00,0.28,03:25:00,-3.4,16:05:00,75.75,,False,06:55:00,True,08:30:00,True,Short,1.0,Broken,,,Broken,Short,1.0,Complete
2008-09-06 00:00:00,Monday,False,,False,,True,18:30:00,0.65,08:10:00,-1.94,14:15:00,51.5,08:10:00,True,07:20:00,True,09:40:00,True,Long,1.0,Broken,Long,0.0,Broken,Short,1.0,Complete
2008-10-06 00:00:00,Tuesday,False,,True,22:50:00,False,,0.15,13:25:00,-1.51,09:00:00,33.0,13:10:00,True,06:05:00,True,08:45:00,True,Short,1.0,Broken,Short,0.0,Broken,Short,0.0,Broken
2008-11-06 00:00:00,Wednesday,False,,True,18:35:00,True,10:00:00,0.61,03:15:00,-2.43,16:00:00,60.0,,False,06:00:00,True,09:20:00,True,Long,0.0,Broken,Short,1.0,Broken,Short,1.0,Complete
2008-12-06 00:00:00,Thursday,False,,True,18:35:00,True,10:00:00,1.68,09:45:00,-0.66,15:25:00,45.25,07:20:00,True,13:45:00,True,14:40:00,True,Long,1.0,Complete,Short,1.0,Broken,Long,0.0,Broken
13/06/2008,Friday,True,10:15:00,True,18:35:00,True,10:00:00,2.1,10:25:00,-0.5,05:45:00,50.5,08:30:00,True,06:30:00,True,,False,Long,0.0,Complete,Short,1.0,Broken,Long,1.0,Complete
16/06/2008,Monday,True,10:15:00,True,18:35:00,True,10:00:00,1.42,13:40:00,-0.61,09:00:00,40.0,06:00:00,True,07:30:00,True,09:00:00,True,Short,1.0,Broken,Short,0.0,Broken,Short,0.0,Complete
17/06/2008,Tuesday,True,08:25:00,True,15:20:00,False,,0.89,08:30:00,-0.43,15:20:00,26.25,06:50:00,True,09:35:00,True,09:40:00,True,Long,0.0,Complete,Long,1.0,Broken,Long,0.0,Complete
18/06/2008,Wednesday,False,,False,,True,06:35:00,0.3,03:20:00,-1.58,10:55:00,37.25,,False,,False,06:15:00,True,Long,1.0,Complete,Short,1.0,Complete,Short,1.0,Broken
19/06/2008,Thursday,True,14:30:00,True,12:05:00,True,23:20:00,2.33,15:05:00,-0.66,10:15:00,58.5,07:20:00,True,09:05:00,True,10:00:00,True,Long,0.0,Broken,Long,0.0,Broken,Long,0.0,Broken
20/06/2008,Friday,False,,True,09:30:00,True,10:35:00,2.33,18:00:00,-3.32,15:00:00,66.25,,False,,False,06:50:00,True,Short,1.0,Complete,Short,1.0,Complete,Short,1.0,Complete
23/06/2008,Monday,False,,False,,True,10:50:00,0.46,03:40:00,-1.31,16:10:00,34.5,,False,06:00:00,True,07:55:00,True,Long,1.0,Broken,Long,0.0,Broken,Long,0.0,Complete
